Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC213T_F8-9kf1_fwd	PDAC213T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27018304.0	0.0	40-75	53.0	42.643279909475396	74.97598165303047	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC213T_F8-9kf1_rev	PDAC213T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27018304.0	0.0	40-75	53.0	41.62046453012302	74.97598165303047	pass	pass	fail	pass	warn	fail	warn	warn	fail	fail	pass
PDAC213Tkf1_fwd	PDAC213Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97231376.0	0.0	40-75	50.0	38.48594951186147	74.98542663841351	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC213Tkf1_rev	PDAC213Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97231376.0	0.0	40-75	51.0	37.623680457805406	74.98542663841351	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC214T_F8-9kf1_fwd	PDAC214T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37711967.0	0.0	40-75	53.0	34.81303503939532	74.97485241223296	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC214T_F8-9kf1_rev	PDAC214T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37711967.0	0.0	40-75	53.0	34.6790480737037	74.97485241223296	pass	pass	fail	pass	warn	fail	warn	warn	fail	fail	pass
PDAC214Tkf1_fwd	PDAC214Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50909620.0	0.0	40-75	50.0	47.834691635027866	74.98065208500869	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC214Tkf1_rev	PDAC214Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50909620.0	0.0	40-75	50.0	47.152957733471716	74.98065208500869	pass	pass	fail	pass	warn	fail	warn	warn	fail	fail	pass
PDAC215T_F8-9kf1_fwd	PDAC215T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19073342.0	0.0	40-75	53.0	24.265545496768958	74.96938853191014	pass	fail	warn	pass	fail	fail	fail	warn	fail	fail	pass
PDAC215T_F8-9kf1_rev	PDAC215T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19073342.0	0.0	40-75	52.0	25.725232261919224	74.96938853191014	pass	fail	pass	pass	fail	fail	fail	warn	fail	fail	pass
PDAC215Tkf1_fwd	PDAC215Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	102194544.0	0.0	40-75	51.0	40.62160617014362	74.97650440125257	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
PDAC215Tkf1_rev	PDAC215Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	102194544.0	0.0	40-75	51.0	40.895199136806724	74.97650440125257	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
PDAC216T_F8-9kf1_fwd	PDAC216T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30896624.0	0.0	40-75	53.0	48.032566173533176	74.98533082449397	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC216T_F8-9kf1_rev	PDAC216T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30896624.0	0.0	40-75	52.0	44.40894485699357	74.98533082449397	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
PDAC216Tkf1_fwd	PDAC216Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88904033.0	0.0	40-75	49.0	41.896563140881554	74.99084825544416	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC216Tkf1_rev	PDAC216Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	88904033.0	0.0	40-75	49.0	41.627397367142535	74.99084825544416	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC217T_F8-9kf1_fwd	PDAC217T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31188708.0	0.0	40-75	53.0	38.05790692919814	74.98042211302885	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
PDAC217T_F8-9kf1_rev	PDAC217T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31188708.0	0.0	40-75	54.0	37.77495270518729	74.98042211302885	pass	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
