EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000067334	1627	1215	1027	652	1087	820	1559	430
ENSG00000122417	209	210	173	75	148	180	146	52
ENSG00000142949	5900	3924	4535	2320	7075	5473	3587	1573
ENSG00000116133	4278	2964	3285	2118	2517	2012	1998	1111
ENSG00000235105	3	14	10	12	7	18	15	3
ENSG00000232882	2	7	0	1	2	3	0	0
ENSG00000171502	10	11	3	3	4	1	0	0
ENSG00000116157	897	1508	470	475	266	555	185	184
ENSG00000143036	20	23	49	35	44	47	55	41
ENSG00000235613	13	16	18	20	6	11	24	3
ENSG00000065243	1043	774	841	396	721	573	737	226
ENSG00000225492	2	2	4	1	1	2	0	1
ENSG00000117500	1350	1359	1365	724	1177	1571	1440	708
ENSG00000171790	7	7	5	1	1	4	5	3
ENSG00000117528	1316	866	1114	524	1116	623	1564	369
ENSG00000066185	22	24	13	14	7	12	20	26
ENSG00000172339	142	227	101	118	109	252	104	202
ENSG00000036549	679	869	791	498	485	669	745	331
ENSG00000229567	0	6	0	1	0	1	3	3
ENSG00000058799	504	463	411	325	523	526	498	402
ENSG00000235563	0	1	3	1	6	10	1	13
ENSG00000235251	1	1	0	0	0	1	0	1
ENSG00000283761	4	0	5	4	1	3	2	3
ENSG00000142700	3	5	0	0	0	2	1	0
ENSG00000233514	55	66	14	32	22	31	30	25
ENSG00000127124	88	95	77	49	98	148	38	23
ENSG00000266993	7	0	0	2	1	1	5	1
ENSG00000097033	3748	3407	3001	2079	2562	2947	3976	1613
ENSG00000162604	302	625	378	448	391	780	571	586
ENSG00000116171	2107	2377	1953	1687	2109	2392	3640	1801
ENSG00000137936	1379	1049	1131	794	1332	1069	938	343
ENSG00000178028	815	574	407	272	664	394	572	390
ENSG00000280040	1	5	2	2	1	0	0	6
ENSG00000168710	2948	2316	2481	1788	2486	2014	4594	2031
ENSG00000117519	8305	6731	6507	4659	6229	5291	13530	5777
ENSG00000228502	3650	7365	2838	3227	3128	3901	2200	3740
ENSG00000188641	654	382	523	311	529	427	623	156
ENSG00000152078	53	52	31	24	9	34	9	4
ENSG00000237352	0	1	2	2	1	1	0	2
ENSG00000215887	26	26	20	17	8	10	23	12
ENSG00000185668	2	1	0	0	0	1	2	0
ENSG00000171492	666	646	1063	785	847	900	1283	734
ENSG00000170989	22	11	3	3	82	82	0	1
ENSG00000186086	0	0	1	2	1	5	0	2
ENSG00000055732	2	1	1	0	3	0	1	0
ENSG00000258634	142	111	179	97	94	71	253	168
ENSG00000116299	23	22	31	18	18	21	51	46
ENSG00000137962	2791	2208	3378	1926	1131	912	1692	453
ENSG00000198691	11	13	15	10	4	3	30	18
ENSG00000236674	2	1	1	1	5	2	2	2
